Time [s],Step1,Dir1,Step2,Dir2,In ISR,Cmd Load,FIFO empty,Dbg UART,Servo,Channel 9
0.000000000,0,0,0,0,0,0,0,0,0,0
0.018865600,0,0,0,0,0,0,0,0,1,0
0.020579480,0,0,0,0,0,0,0,0,0,0
0.042865200,0,0,0,0,0,0,0,0,1,0
0.044579120,0,0,0,0,0,0,0,0,0,0
0.066882000,0,0,0,0,0,0,0,0,1,0
0.068595920,0,0,0,0,0,0,0,0,0,0
0.090889280,0,0,0,0,0,0,0,0,1,0
0.092603240,0,0,0,0,0,0,0,0,0,0
0.114888400,0,0,0,0,0,0,0,0,1,0
0.116602280,0,0,0,0,0,0,0,0,0,0
0.138906920,0,0,0,0,0,0,0,0,1,0
0.140620960,0,0,0,0,0,0,0,0,0,0
0.162907640,0,0,0,0,0,0,0,0,1,0
0.164621480,0,0,0,0,0,0,0,0,0,0
0.186923480,0,0,0,0,0,0,0,0,1,0
0.188637320,0,0,0,0,0,0,0,0,0,0
0.210930600,0,0,0,0,0,0,0,0,1,0
0.212644480,0,0,0,0,0,0,0,0,0,0
0.234929120,0,0,0,0,0,0,0,0,1,0
0.236642920,0,0,0,0,0,0,0,0,0,0
0.258946840,0,0,0,0,0,0,0,0,1,0
0.260660680,0,0,0,0,0,0,0,0,0,0
0.282946200,0,0,0,0,0,0,0,0,1,0
0.284660120,0,0,0,0,0,0,0,0,0,0
0.306962800,0,0,0,0,0,0,0,0,1,0
0.308676720,0,0,0,0,0,0,0,0,0,0
0.330970400,0,0,0,0,0,0,0,0,1,0
0.332684280,0,0,0,0,0,0,0,0,0,0
0.354969520,0,0,0,0,0,0,0,0,1,0
0.356683400,0,0,0,0,0,0,0,0,0,0
0.378986560,0,0,0,0,0,0,0,0,1,0
0.380700480,0,0,0,0,0,0,0,0,0,0
0.402985360,0,0,0,0,0,0,0,0,1,0
0.404699240,0,0,0,0,0,0,0,0,0,0
0.427001200,0,0,0,0,0,0,0,0,1,0
0.428715160,0,0,0,0,0,0,0,0,0,0
0.451008160,0,0,0,0,0,0,0,0,1,0
0.452722000,0,0,0,0,0,0,0,0,0,0
0.475007160,0,0,0,0,0,0,0,0,1,0
0.476721120,0,0,0,0,0,0,0,0,0,0
0.499025080,0,0,0,0,0,0,0,0,1,0
0.500739040,0,0,0,0,0,0,0,0,0,0
0.523024680,0,0,0,0,0,0,0,0,1,0
0.524738600,0,0,0,0,0,0,0,0,0,0
0.547041280,0,0,0,0,0,0,0,0,1,0
0.548755240,0,0,0,0,0,0,0,0,0,0
0.571049320,0,0,0,0,0,0,0,0,1,0
0.572763280,0,0,0,0,0,0,0,0,0,0
0.595049360,0,0,0,0,0,0,0,0,1,0
0.596763280,0,0,0,0,0,0,0,0,0,0
0.619067040,0,0,0,0,0,0,0,0,1,0
0.620780960,0,0,0,0,0,0,0,0,0,0
0.643067480,0,0,0,0,0,0,0,0,1,0
0.644781360,0,0,0,0,0,0,0,0,0,0
0.667084400,0,0,0,0,0,0,0,0,1,0
0.668798440,0,0,0,0,0,0,0,0,0,0
0.691091640,0,0,0,0,0,0,0,0,1,0
0.692805440,0,0,0,0,0,0,0,0,0,0
0.715090560,0,0,0,0,0,0,0,0,1,0
0.716804440,0,0,0,0,0,0,0,0,0,0
0.739107840,0,0,0,0,0,0,0,0,1,0
0.740821760,0,0,0,0,0,0,0,0,0,0
0.763107560,0,0,0,0,0,0,0,0,1,0
0.764821480,0,0,0,0,0,0,0,0,0,0
0.787123320,0,0,0,0,0,0,0,0,1,0
0.788837200,0,0,0,0,0,0,0,0,0,0
0.811130640,0,0,0,0,0,0,0,0,1,0
0.812844480,0,0,0,0,0,0,0,0,0,0
0.835129160,0,0,0,0,0,0,0,0,1,0
0.836843080,0,0,0,0,0,0,0,0,0,0
0.859146520,0,0,0,0,0,0,0,0,1,0
0.860860440,0,0,0,0,0,0,0,0,0,0
0.883144880,0,0,0,0,0,0,0,0,1,0
0.884858800,0,0,0,0,0,0,0,0,0,0
0.907161120,0,0,0,0,0,0,0,0,1,0
0.908874960,0,0,0,0,0,0,0,0,0,0
0.931167960,0,0,0,0,0,0,0,0,1,0
0.932881760,0,0,0,0,0,0,0,0,0,0
0.955166160,0,0,0,0,0,0,0,0,1,0
0.956880040,0,0,0,0,0,0,0,0,0,0
0.979183760,0,0,0,0,0,0,0,0,1,0
0.980897640,0,0,0,0,0,0,0,0,0,0
1.003182920,0,0,0,0,0,0,0,0,1,0
1.004896720,0,0,0,0,0,0,0,0,0,0
1.027199160,0,0,0,0,0,0,0,0,1,0
1.028913000,0,0,0,0,0,0,0,0,0,0
1.051205960,0,0,0,0,0,0,0,0,1,0
1.052919960,0,0,0,0,0,0,0,0,0,0
1.075205000,0,0,0,0,0,0,0,0,1,0
1.076918880,0,0,0,0,0,0,0,0,0,0
1.099222560,0,0,0,0,0,0,0,0,1,0
1.100936440,0,0,0,0,0,0,0,0,0,0
1.123221360,0,0,0,0,0,0,0,0,1,0
